iter	Logloss
0	0.6310819402
1	0.5877736709
2	0.5509608559
3	0.5228895797
4	0.5027338771
5	0.4882173734
6	0.4786330596
7	0.4719483304
8	0.4654865629
9	0.4597023483
10	0.4558998531
11	0.4524446679
12	0.4500520863
13	0.4475565902
14	0.4454757217
15	0.444015625
16	0.4424931342
17	0.4394306623
18	0.4366051086
19	0.4353182771
20	0.4332773352
21	0.4320246677
22	0.430544299
23	0.4293104417
24	0.4278769417
25	0.4266601758
26	0.4261844594
27	0.4253267927
28	0.424432527
29	0.4236538438
30	0.422513231
31	0.4215406797
32	0.4206276097
33	0.420101493
34	0.4196386738
35	0.4190126444
36	0.4183413271
37	0.4178092636
38	0.4173407112
39	0.4167484926
40	0.4161345486
41	0.4153626279
42	0.4148614857
43	0.4142657781
44	0.4133694525
45	0.4126414522
46	0.4119119896
47	0.4112209624
48	0.4105392919
49	0.4098540245
50	0.4092731704
51	0.4081836404
52	0.4076709664
53	0.4070101746
54	0.4065639342
55	0.4060013998
56	0.4048758903
57	0.4045424154
58	0.4042507603
59	0.4039907823
60	0.4036179742
61	0.4028754622
62	0.4023018012
63	0.4016563821
64	0.4011751091
65	0.4005952069
66	0.4002503176
67	0.4000207478
68	0.3996625338
69	0.3991867602
70	0.3988841007
71	0.3985230056
72	0.3980121817
73	0.3976416655
74	0.3968033782
75	0.3962667925
76	0.3957838959
77	0.395401299
78	0.3947088461
79	0.3940541503
80	0.3935784105
81	0.3932558704
82	0.3929358365
83	0.3922057914
84	0.3917597884
85	0.3907069918
86	0.3901252642
87	0.3895020653
88	0.3888836657
89	0.3883445436
90	0.3875367614
91	0.3869527675
92	0.3864275383
93	0.3855716571
94	0.3850092023
95	0.3844827163
96	0.3836693027
97	0.3829634539
98	0.3824433086
99	0.3819598469
100	0.381461353
101	0.3806652802
102	0.3801769674
103	0.3795307991
104	0.378839502
105	0.378271273
106	0.3777973722
107	0.3771737648
108	0.3765319675
109	0.3757997083
110	0.3752024645
111	0.3742563447
112	0.3737811888
113	0.3731333409
114	0.3724551713
115	0.3718999328
116	0.3711680837
117	0.3706285011
118	0.3701209985
119	0.3695459708
120	0.3689719853
121	0.3684696704
122	0.3678103
123	0.3673932973
124	0.3669240046
125	0.3664105471
126	0.3658977192
127	0.3651437703
128	0.3646956476
129	0.364236412
130	0.3637187656
131	0.3628757164
132	0.3623865122
133	0.3619319241
134	0.3614231827
135	0.3609775938
136	0.3600012201
137	0.3593032613
138	0.3587403139
139	0.3582654834
140	0.3578844779
141	0.3570002043
142	0.3563547323
143	0.3560396255
144	0.3557587395
145	0.3553432338
146	0.3550206439
147	0.3542062341
148	0.3536073344
149	0.3531908574
150	0.3528973809
151	0.3522489114
152	0.3518320249
153	0.3514119344
154	0.3508631012
155	0.3503340262
156	0.3498550478
157	0.3495382114
158	0.3490627525
159	0.3487731875
160	0.3481776482
161	0.3478878727
162	0.3474301366
163	0.3468662334
164	0.3464643986
165	0.3462475629
166	0.3456504827
167	0.3451802041
168	0.3447326929
169	0.3439020519
170	0.3433292344
171	0.3428362948
172	0.342605764
173	0.3419802724
174	0.3414400752
175	0.3410762051
176	0.3407011077
177	0.3402877324
178	0.3398513901
179	0.339362876
180	0.3388994787
181	0.3384822824
182	0.3382788613
183	0.3379641964
184	0.3374244816
185	0.3368673207
186	0.3363978442
187	0.3359992202
188	0.3356529977
189	0.3350286989
190	0.3344918989
191	0.3340621747
192	0.3337190003
193	0.3334135861
194	0.3328606949
195	0.332572768
196	0.3322297345
197	0.3319918093
198	0.3316689258
199	0.3312775784
200	0.3309302402
201	0.3303931859
202	0.3301309613
203	0.3297324777
204	0.3291523096
205	0.3287947161
206	0.328200194
207	0.3276526562
208	0.3273786712
209	0.3269434751
210	0.3262106248
211	0.3260568367
212	0.325861841
