iter	Logloss
213	0.3253846573
214	0.324832421
215	0.3244365198
216	0.324002172
217	0.3236817243
218	0.32291792
219	0.3225692361
220	0.3223067776
221	0.3217009458
222	0.3213764293
223	0.321103123
224	0.3206269225
225	0.3202555957
226	0.3199312225
227	0.3193395835
228	0.3187747392
229	0.3183628794
230	0.3180582745
231	0.3174667593
232	0.3170552392
233	0.3166161254
234	0.316126429
235	0.3156842853
236	0.315329138
237	0.3149646182
238	0.314435552
239	0.3142366983
240	0.3136014798
241	0.3132983943
242	0.313004126
243	0.3124545162
244	0.3122129062
245	0.3116905446
246	0.311312139
247	0.3108827914
248	0.3105762043
249	0.3101004048
250	0.3096379356
251	0.3091955912
252	0.3087444965
253	0.3082973631
254	0.3078780908
255	0.3076589409
256	0.3073466883
257	0.3070028111
258	0.3065462893
259	0.3061707569
260	0.3059058907
261	0.3054728144
262	0.3051935989
263	0.3046930826
264	0.3041426557
265	0.303733223
266	0.3033509308
267	0.3028533501
268	0.3025672345
269	0.3021907442
270	0.3018024087
271	0.3012433381
272	0.3007756146
273	0.300203093
274	0.2997736151
275	0.2994769458
276	0.2991557279
277	0.2986018635
278	0.2983936974
279	0.297925796
280	0.2974541307
281	0.2970122678
282	0.2966662141
283	0.2963149445
284	0.2959450657
285	0.2957087025
286	0.2954102048
287	0.2949096294
288	0.2944590654
289	0.2939483982
290	0.2936159969
291	0.2931537952
292	0.2926876541
293	0.2924378976
294	0.29215371
295	0.2919897216
296	0.2915557464
297	0.2911094242
298	0.290487246
299	0.2900616101
300	0.2897900647
301	0.2895175836
302	0.2889422906
303	0.2883676826
304	0.2881532328
305	0.2874260104
306	0.2869954601
307	0.2866080426
308	0.2863059634
309	0.2861165182
310	0.2858493877
311	0.2856087949
312	0.2851763727
313	0.2847772257
314	0.284370065
315	0.2839989307
316	0.2837269289
317	0.2836044817
318	0.2830309887
319	0.282640788
320	0.2823329629
321	0.2819403205
322	0.281517602
323	0.2809896929
324	0.2804846282
325	0.2799992163
326	0.2796770003
327	0.2794125174
328	0.2791173689
329	0.2788161667
330	0.2784364733
331	0.278009295
332	0.2776900948
333	0.277171982
334	0.2769048383
335	0.2764062291
336	0.2761878711
337	0.2756546365
338	0.2752310838
339	0.274768992
340	0.2745446817
341	0.274276205
342	0.2736833872
343	0.2734384202
344	0.2730820321
345	0.2727018057
346	0.2722967663
347	0.2718114808
348	0.271350393
349	0.2709320153
350	0.2704372126
351	0.270098822
352	0.2696708943
353	0.2692591963
354	0.2688853056
355	0.2683777549
356	0.2678998306
357	0.2674965181
358	0.2670578394
359	0.2667880333
360	0.2664812109
361	0.2660880668
362	0.2657210665
363	0.2653611122
364	0.2650660752
365	0.2646867483
366	0.2643228978
367	0.2639898488
368	0.2638583619
369	0.263239484
370	0.2630266906
371	0.2626426359
372	0.2622408938
373	0.2619950959
374	0.2615353871
375	0.2613630703
376	0.2612088566
377	0.260833573
378	0.2604315907
379	0.2600516219
380	0.2597727615
381	0.259457979
382	0.2591252277
383	0.2588398925
384	0.2583190107
385	0.2580250677
386	0.2577772897
387	0.2573175338
388	0.2568294474
389	0.2566114807
390	0.2563722287
391	0.2557857301
392	0.2554200295
393	0.2549495246
394	0.2546458309
395	0.2543333718
396	0.2541553765
397	0.2538512597
398	0.2534921116
399	0.253249135
400	0.253047689
401	0.2525794872
402	0.252481732
403	0.2519815374
404	0.2516890001
405	0.251347247
406	0.2510394408
407	0.2507524256
408	0.2504230663
409	0.250097172
410	0.2497253484
411	0.2495752783
412	0.2491529089
413	0.2488929987
414	0.2486952085
415	0.2485193937
416	0.2481623735
417	0.247845229
418	0.2477276404
419	0.2474476964
420	0.2470802862
421	0.246823375
422	0.2465851396
423	0.2463517133
424	0.2461754488
425	0.2458809421
426	0.2455813874
427	0.2452589753
428	0.2449062419
429	0.244617909
430	0.244338385
431	0.2440453563
432	0.2437339261
433	0.243585153
434	0.243244053
435	0.2430594759
436	0.2424901128
437	0.24217429
438	0.2418504557
439	0.2415170942
440	0.2412257863
441	0.2408979969
442	0.2406914028
443	0.2403229474
444	0.2398800985
445	0.2395485399
446	0.2391922548
447	0.2389533205
448	0.2386872391
449	0.2384197789
450	0.2380713629
451	0.2377497594
452	0.237263735
453	0.2369617188
454	0.2367764793
455	0.2365200934
456	0.2363926077
457	0.2360453
458	0.2357463935
459	0.2354910952
460	0.235143175
461	0.2344944131
462	0.2342373112
463	0.2340762648
464	0.233834579
465	0.2335718354
466	0.2333198358
467	0.2328087388
468	0.2325719169
469	0.2321359964
470	0.2317914255
471	0.2315957869
472	0.2313384027
473	0.2311738845
474	0.230945692
475	0.2307133072
476	0.2304758568
477	0.2301823152
478	0.2299007071
479	0.2297624786
480	0.2293798763
481	0.2291632399
482	0.228909994
483	0.2284821196
484	0.2281297946
485	0.2277849352
486	0.2273841778
487	0.2270209802
488	0.2266741735
489	0.2264004556
490	0.2259609856
491	0.2258105478
492	0.2256539172
493	0.225446309
494	0.2251876518
495	0.2248446681
496	0.2245619031
497	0.2242908223
498	0.2239346715
499	0.2236558703
